Entry #,Event Date,Event Location,Weightclass,FighterAName,FighterBName,AAge,BAge,FighterAWin ,AHometownHero,BHometownHero,AHeight,AReach,BHeight,BReach,ATotalFightsPrior,AWinsPrior,AWinByKOPrior,AWinBySubPrior,AWinByDecPrior,ALossesPrior,ALossByKOPrior,ALossBySubPrior,ALossByDecPrior,ADrawsPrior,ANoContestPrior,BTotalFightsPrior,BWinsPrior,BWinByKO,BWinBySub,BWinByDecision,BLossesPrior,BLossByKO,BLossBySub,BLossByDec,BDrawsPrior,BNoContestPrior,Astance,Bstance,MainCard, MainEvent,ASigStrikesLPM,ASigStrikingAccuracy,ASigStrikesAPM,ASigStrikeDefence,ATDAvg,ATDAcc,ATDDef,ASubAvg,BSigStrikesLPM,BSigStrikingAccuracy,BSigStrikesAPM,BSigStrikeDefence,BTDAvg,BTDAcc,BTDDef,BSubAvg,"Date Career 
Stats Entered",AgeDiff,HeightDiff,ReachDiff,AWinPercentage,BWinPercentage,AApeFactor,BApeFactor,ApeDiff,AOrthodox,ASouthpaw,ASwitch,BOrthodox,BSouthpaw,BSwitch,OrthOrth,OrthSouth,OrthSwitch,SouthOrth,SouthSouth,SouthSwitch,SwitchOrth,SwitchSouth,SwitchSwitch,ADamTakenPM,ADamInflictedPM
11,2/15/20,"Rio Rancho, New Mexico, USA",Lightweight,Yancy Medeiros,Lando Vannata,32,27,0,0,0,70,75,69,71,22,15,8,4,3,6,4,1,1,0,1,16,10,4,5,1,4,0,1,3,2,0,Orthodox,Orthodox,1,0,4.05,35%,5.38,46%,0.12,25%,76%,0.5,4.72,44%,4.73,56%,1.15,36%,64%,0.4,3/8/20,5,1,4,0.6818,0.625,5,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.66,-0.68
12,2/8/20,"Houston, Texas, USA",Light Heavyweight,Dominick Reyes,Jon Jones,30,32,0,0,0,76,77,76,84,12,12,7,2,3,0,0,0,0,0,0,27,25,10,6,9,1,0,0,1,0,1,Southpaw,Orthodox,1,1,4.88,49%,3,48%,0.24,16%,82%,0.2,4.3,57%,2.22,64%,1.85,44%,95%,0.4,3/8/20,-2,0,-7,1,0.9259,1,8,-7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.3,2.66
13,2/8/20,"Houston, Texas, USA",Women's Flyweight,Katlyn Chookagian,Valentina Shevchenko,31,32,0,0,0,69,68,65,66,15,13,2,1,10,2,0,0,2,0,0,21,18,5,7,6,3,1,0,2,0,0,Orthodox,Southpaw,1,0,4.11,32%,4.49,63%,0,0%,50%,0.1,3.06,50%,2.12,63%,2.09,54%,77%,0.4,3/8/20,-1,4,2,0.8667,0.8571,-1,1,-2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.43,1.99
14,2/8/20,"Houston, Texas, USA",Heavyweight,Juan Adams,Justin Tafa,28,26,0,1,0,77,80,72,74,7,5,5,0,0,2,1,0,1,0,0,4,3,3,0,0,1,1,0,0,0,0,Orthodox,Southpaw,1,0,7.09,55%,4.06,34%,0.91,66%,57%,0,3.86,66%,2.65,52%,0,0%,0%,0,3/10/20,2,5,6,0.7143,0.75,3,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.2,4.44
15,2/8/20,"Houston, Texas, USA",Featherweight,Dan Ige,Mirsad Bektic,28,29,1,0,0,67,71,68,70,14,12,3,5,4,2,0,0,2,0,0,15,13,6,3,4,2,2,0,0,0,0,Orthodox,Orthodox,1,0,3.89,49%,2.69,62%,2.38,35%,61%,0.8,2.59,41%,1.89,58%,3.32,47%,92%,0.5,3/10/20,-1,-1,1,0.8571,0.8667,4,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.1,2
16,2/8/20,"Houston, Texas, USA",Heavyweight,Ilir Latifi,Derrick Lewis,36,35,0,0,1,70,73,75,79,23,15,6,5,4,7,4,0,3,0,1,30,22,18,1,3,7,4,1,2,0,1,Orthodox,Orthodox,1,0,2.01,40%,2.84,56%,2.02,32%,100%,0.4,2.53,49%,2.14,44%,0.48,24%,53%,0,3/10/20,1,-5,-6,0.6522,0.7333,3,4,-1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.31,-0.13
17,1/25/20,"Raleigh, North Carolina, USA",Heavyweight,Curtis Blaydes,Junior Dos Santos,29,36,1,0,0,76,80,76,77,15,12,9,0,3,2,2,0,0,0,1,27,21,15,1,5,6,4,1,1,0,0,Orthodox,Orthodox,1,1,3.74,51%,1.86,57%,6.63,55%,25%,0,4.66,48%,3.13,58%,0.33,55%,81%,0.1,3/10/20,-7,0,3,0.8,0.7778,4,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-2.8,0.61
18,1/25/20,"Raleigh, North Carolina, USA",Welterweight,Rafael dos Anjos,Michael Chiesa,35,32,0,0,0,68,70,73,75,41,29,5,10,14,12,3,0,9,0,0,20,16,0,11,5,4,1,3,0,0,0,Southpaw,Southpaw,1,0,3.47,45%,3.18,62%,1.82,39%,58%,0.6,2.07,39%,1.95,52%,3.84,51%,68%,1.1,3/10/20,3,-5,-5,0.7073,0.8,2,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1.11,1.52
19,1/25/20,"Raleigh, North Carolina, USA",Flyweight,Alex Perez,Jordan Espinosa,27,30,1,0,0,66,65,66,69,27,22,4,6,12,5,1,3,1,0,0,21,14,2,7,5,6,0,3,3,0,1,Orthodox,Orthodox,1,0,4.48,47%,2.99,62%,3.27,50%,87%,1.5,4.25,55%,3,56%,0.85,20%,83%,0.4,3/10/20,-3,0,-4,0.8148,0.6667,-1,3,-4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.26,1.48
20,1/25/20,"Raleigh, North Carolina, USA",Women's Strawweight,Hannah Cifers,Angela Hill,27,35,0,1,0,61,62,63,64,13,10,5,0,5,3,1,1,1,0,0,17,10,4,0,6,7,0,2,5,0,0,Orthodox,Orthodox,1,0,4.82,45%,5.55,53%,0.32,100%,64%,0.3,5.74,49%,5.13,64%,0.5,37%,72%,0.2,3/10/20,-8,-2,-2,0.7692,0.5882,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.19,-0.31
