Entry #,Event Date,Event Location,Weightclass,FighterAName,FighterBName,AAge,BAge,FighterAWin ,AHometownHero,BHometownHero,AHeight,AReach,BHeight,BReach,ATotalFightsPrior,AWinsPrior,AWinByKOPrior,AWinBySubPrior,AWinByDecPrior,ALossesPrior,ALossByKOPrior,ALossBySubPrior,ALossByDecPrior,ADrawsPrior,ANoContestPrior,BTotalFightsPrior,BWinsPrior,BWinByKO,BWinBySub,BWinByDecision,BLossesPrior,BLossByKO,BLossBySub,BLossByDec,BDrawsPrior,BNoContestPrior,Astance,Bstance,MainCard, MainEvent,ASigStrikesLPM,ASigStrikingAccuracy,ASigStrikesAPM,ASigStrikeDefence,ATDAvg,ATDAcc,ATDDef,ASubAvg,BSigStrikesLPM,BSigStrikingAccuracy,BSigStrikesAPM,BSigStrikeDefence,BTDAvg,BTDAcc,BTDDef,BSubAvg,"Date Career 
Stats Entered",AgeDiff,HeightDiff,ReachDiff,AWinPercentage,BWinPercentage,AApeFactor,BApeFactor,ApeDiff,AOrthodox,ASouthpaw,ASwitch,BOrthodox,BSouthpaw,BSwitch,OrthOrth,OrthSouth,OrthSwitch,SouthOrth,SouthSouth,SouthSwitch,SwitchOrth,SwitchSouth,SwitchSwitch,ADamTakenPM,ADamInflictedPM
45,11/16/19,"Sao Paulo, Sao Paulo, Brazil",Middleweight,Wellington Turman,Markus Perez,23,29,1,1,1,72,72,73,73,18,15,4,7,4,3,0,0,3,0,0,14,12,3,6,3,2,0,0,2,0,0,Orthodox,Orthodox,1,0,2.43,42%,3.3,43%,3,37%,100%,1,2.75,48%,3.96,52%,1.08,26%,80%,1.1,3/24/20,-6,-1,-1,0.8333,0.8571,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.55,-1.53
46,11/9/19,"Moscow, Moscow, Russia",Featherweight,Calvin Kattar,Zabit Magomedsharipov,31,28,0,0,1,71,72,73,73,23,20,9,3,8,3,0,1,2,0,0,18,17,6,7,4,1,0,1,0,0,0,Orthodox,Orthodox,1,1,5.12,41%,6.36,57%,0.47,33%,77%,0,4.89,48%,3,64%,5.22,56%,77%,0.8,3/30/20,3,-2,-1,0.8696,0.9444,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.47,2.12
47,11/9/19,"Moscow, Moscow, Russia",Heavyweight,Alexander Volkov,Greg Hardy,31,31,1,1,0,79,80,77,80,37,30,20,3,7,7,2,2,3,0,0,7,5,5,0,0,1,0,0,1,0,1,Orthodox,Orthodox,1,0,5.36,60%,2.48,58%,0.75,75%,76%,0.2,4.77,49%,3.21,56%,0,0%,83%,0,3/30/20,0,2,0,0.8108,0.7143,1,3,-2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-2.29,2.15
48,11/9/19,"Moscow, Moscow, Russia",Welterweight,Zelim Imadaev,Danny Roberts,24,32,0,1,0,72,76,73,74,9,8,8,0,0,1,0,0,1,0,0,21,16,7,5,4,5,3,2,0,0,0,Orthodox,Southpaw,1,0,3.69,41%,3.37,45%,0.6,50%,63%,0,3.41,44%,3.08,55%,0.18,6%,53%,0.4,3/30/20,-8,-1,2,0.8889,0.7619,4,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.04,0.61
49,11/9/19,"Moscow, Moscow, Russia",Light Heavyweight,Ed Herman,Khadis Ibragimov,39,24,1,0,1,73,77,75,78,40,25,7,13,5,14,3,6,5,0,1,9,8,2,3,3,1,0,1,0,0,0,Orthodox,Orthodox,1,0,3.33,49%,3.13,44%,2.2,48%,59%,1.2,5.23,52%,6,50%,1.67,30%,100%,0,3/30/20,15,-2,-1,0.625,0.8889,4,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-2.1,-2.67
50,11/9/19,"Moscow, Moscow, Russia",Welterweight,Ramazan Emeev,Anthony Rocco Martin,32,29,0,1,0,70,76,72,73,21,18,3,7,8,3,1,1,1,0,0,21,16,1,9,6,5,0,2,3,0,0,Southpaw,Orthodox,1,0,2.38,43%,1.73,70%,1.5,22%,80%,0.2,2.7,36%,2.45,59%,0.68,25%,64%,1.1,3/30/20,3,-2,3,0.8571,0.7619,6,1,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.97,-0.07
51,11/9/19,"Moscow, Moscow, Russia",Light Heavyweight,Shamil Gamzatov,Klidson Farias de Abreu,29,26,1,1,0,74,76,72,74,13,13,5,5,3,0,0,0,0,0,0,18,15,4,10,1,3,2,0,1,0,0,Orthodox,Orthodox,1,0,4.27,46%,2.13,58%,0,0%,50%,0,2.02,39%,2.71,56%,0.67,20%,80%,0,3/30/20,3,2,2,1,0.8333,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.11,1.56
52,11/2/19,"New York City, New York, USA",Welterweight,Nate Diaz,Jorge Masvidal,34,34,0,0,0,72,76,71,74,32,21,5,12,4,11,1,1,9,0,0,48,34,15,2,17,13,1,2,10,0,0,Southpaw,Orthodox,1,1,4.62,45%,3.78,53%,1.19,30%,42%,1.4,4.33,47%,2.94,66%,1.7,59%,78%,0.4,3/30/20,0,1,2,0.6563,0.7083,4,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.55,1.68
53,11/2/19,"New York City, New York, USA",Middleweight,Darren Till,Kelvin Gastelum,26,28,1,0,0,72,74,69,71,20,17,10,2,5,2,1,1,0,1,0,21,16,6,5,5,4,0,1,3,0,1,Southpaw,Southpaw,1,0,2.41,46%,3.03,59%,0.66,41%,82%,0,3.75,43%,3.01,59%,0.8,35%,62%,0.1,3/30/20,-2,3,3,0.85,0.7619,2,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.72,-0.6
54,11/2/19,"New York City, New York, USA",Welterweight,Vicente Luque,Stephen Thompson,27,36,0,0,0,71,75,72,75,24,17,9,6,2,6,0,2,4,1,0,19,14,7,1,6,4,1,0,3,1,0,Orthodox,Orthodox,1,0,5.18,53%,5.34,51%,0.82,50%,64%,1,3.93,44%,2.73,59%,0.36,45%,78%,0,3/30/20,-9,-1,0,0.7083,0.7368,4,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.41,2.45
55,11/2/19,"New York City, New York, USA",Heavyweight,Derrick Lewis,Blagoy Ivanov,34,33,1,0,0,75,79,71,73,29,21,18,1,2,7,4,1,2,0,1,21,18,6,6,6,2,0,1,1,0,1,Orthodox,Southpaw,1,0,2.53,49%,2.14,44%,0.48,24%,53%,0,3.09,38%,3.93,55%,1.07,62%,75%,0.2,3/30/20,1,4,6,0.7241,0.8571,4,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.95,-1.4
56,11/2/19,"New York City, New York, USA",Lightweight,Gregor Gillespie,Kevin Lee,32,27,0,1,0,67,71,69,77,13,13,6,5,2,0,0,0,0,0,0,22,17,2,8,7,5,1,2,2,0,0,Orthodox,Orthodox,1,0,3.58,49%,2.14,60%,7.02,47%,0%,0.9,3.9,42%,3.23,51%,3.21,43%,75%,0.8,3/30/20,5,-2,-6,1,0.7727,4,8,-4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.76,0.35
57,10/26/19,"Kallang, Singapore",Welterweight,Demian Maia,Ben Askren,41,35,1,0,0,73,72,71,73,36,27,3,13,11,9,1,0,8,0,0,21,19,6,6,7,1,1,0,0,0,1,Southpaw,Orthodox,1,1,1.82,43%,2.03,63%,2.55,26%,61%,1,3.64,49%,5.66,36%,4.33,55%,0%,0.9,3/31/20,6,2,-1,0.75,0.9048,-1,2,-3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.61,-3.84
58,10/26/19,"Kallang, Singapore",Lightweight,Michael Johnson,Stevie Ray,33,29,0,0,0,70,73,70,70,34,20,8,2,10,14,2,8,4,0,0,31,22,6,8,8,9,2,4,3,0,0,Southpaw,Southpaw,1,0,4.22,37%,3.92,58%,0.52,45%,78%,0.1,3.73,44%,2.93,54%,0.75,46%,55%,0.6,3/31/20,4,0,3,0.5882,0.7097,3,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.19,1.29
59,10/26/19,"Kallang, Singapore",Lightweight,Beneil Dariush,Frank Camacho,30,30,1,0,0,70,72,70,73,21,16,3,7,6,4,3,1,0,1,0,29,22,17,2,3,7,4,1,2,0,0,Southpaw,Orthodox,1,0,3.87,49%,2.65,59%,1.8,33%,80%,1.1,6.68,46%,7.14,52%,1.18,45%,72%,0,3/31/20,0,0,-1,0.7619,0.7586,2,3,-1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-4.03,-3.27
60,10/26/19,"Kallang, Singapore",Heavyweight,Don'Tale Mayes,Ciryl Gane,27,29,0,0,0,78,81,76,81,9,7,4,1,2,2,1,0,1,0,0,4,4,2,2,0,0,0,0,0,0,0,Orthodox,Orthodox,1,0,4.25,44%,4.66,42%,0,0%,66%,0,5.12,49%,2.09,73%,1.32,60%,100%,0.9,3/31/20,-2,2,0,0.7778,1,3,5,-2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.46,2.16
61,10/26/19,"Kallang, Singapore",Welterweight,Muslim Salikhov,Laureano Staropoli,35,26,1,0,0,71,70,73,71,17,15,12,2,1,2,0,2,0,0,0,10,9,5,2,2,1,1,0,0,0,0,Orthodox,Orthodox,1,0,2.92,46%,1.97,68%,1.22,42%,72%,0,4.29,31%,4.22,57%,0.33,25%,50%,0,3/31/20,9,-2,-1,0.8824,0.9,-1,-2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-2.32,-1.3
62,10/18/19,"Boston, Massachusetts, USA",Light Heavyweight,Chris Weidman,Dominick Reyes,35,29,0,0,0,74,78,76,77,18,14,6,4,4,4,4,0,0,0,0,11,11,6,2,3,0,0,0,0,0,0,Orthodox,Southpaw,1,1,3.14,42%,3.25,51%,3.82,50%,73%,1,4.88,49%,3,48%,0.24,16%,82%,0.2,3/31/20,6,-2,1,0.7778,1,4,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1.63,0.14
63,10/18/19,"Boston, Massachusetts, USA",Featherweight,Yair Rodríguez,Jeremy Stephens,27,33,1,0,0,71,71,69,71,15,12,4,3,5,2,2,0,0,0,1,45,28,19,2,7,16,2,3,11,0,1,Orthodox,Orthodox,1,0,4.33,45%,3.13,57%,0.9,29%,63%,0.9,3.09,40%,2.98,58%,1.18,38%,65%,0.4,3/31/20,-6,2,0,0.8,0.6222,0,2,-2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.04,1.35
64,10/18/19,"Boston, Massachusetts, USA",Lightweight,Jonathan Pearce,Joe Lauzon,27,35,0,0,1,72,71,70,71,12,9,7,1,1,3,0,2,1,0,0,43,27,8,17,2,16,6,3,7,0,0,Switch,Orthodox,1,0,11.21,57%,7.85,47%,4.48,50%,80%,0,2.84,39%,5.39,54%,2.39,45%,54%,2,3/31/20,-8,2,0,0.75,0.6279,-1,1,-2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5.01,5.82
65,10/18/19,"Boston, Massachusetts, USA",Women's Flyweight,Maycee Barber,Gillian Robertson,21,24,1,0,0,65,65,65,63,7,7,4,2,1,1,0,0,1,0,0,10,7,1,5,1,3,0,1,2,0,0,Switch,Not Listed,1,0,6.02,60%,3.15,49%,0.95,30%,80%,0.3,2.18,50%,2.75,54%,3.44,47%,0%,1.3,3/31/20,-3,0,2,1,0.7,0,-2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.97,3.27
66,10/18/19,"Boston, Massachusetts, USA",Middleweight,Deron Winn,Darren Stewart,30,28,0,0,0,66,70,72,74,6,6,4,0,2,0,0,0,0,0,0,15,10,7,0,3,4,0,2,2,0,1,Orthodox,Orthodox,1,0,5.95,47%,5.95,52%,2.49,35%,0%,0,2.94,44%,2.44,54%,1.38,44%,65%,0,3/31/20,2,-6,-4,1,0.6667,4,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.01,3.51
67,10/12/19,"Tampa, Florida, USA",Women's Strawweight,Joanna Jedrzejczyk,Michelle Waterson,32,33,1,0,0,66,65,63,62,18,15,4,1,10,3,1,0,2,0,0,23,17,3,9,5,6,1,3,2,0,0,Orthodox,Orthodox,1,1,6.3,48%,3.08,64%,0.28,62%,81%,0.1,3.35,53%,3.88,48%,1.88,50%,57%,1.2,4/1/20,-1,3,3,0.8333,0.7391,-1,-1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.27,2.42
68,10/12/19,"Tampa, Florida, USA",Featherweight,Kron Gracie,Cub Swanson,31,35,0,0,0,69,70,68,70,5,5,0,5,0,0,0,0,0,0,0,36,25,11,4,10,11,1,7,3,0,0,Southpaw,Orthodox,1,0,5.15,41%,8.13,53%,0.88,25%,0%,0.9,4.59,49%,3.65,61%,1.06,50%,60%,0.5,4/1/20,-4,1,0,1,0.6944,1,2,-1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3.54,1.5
69,10/12/19,"Tampa, Florida, USA",Welterweight,Niko Price,James Vick,30,32,1,0,0,72,76,75,76,17,13,9,3,1,3,2,1,0,0,1,17,13,3,5,5,4,3,0,1,0,0,Orthodox,Orthodox,1,0,3.06,34%,4.46,51%,1.08,23%,61%,1.3,4.13,39%,3.31,60%,0.26,33%,57%,0.7,4/1/20,-2,-3,0,0.7647,0.7647,4,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.33,-0.25
70,10/12/19,"Tampa, Florida, USA",Women's Strawweight,Mackenzie Dern,Amanda Ribas,26,26,0,0,0,64,63,63,66,7,7,0,4,3,0,0,0,0,0,0,8,7,3,3,1,1,1,0,0,0,0,Orthodox,Orthodox,1,0,3.24,32%,4.07,64%,0.46,8%,0%,0.9,4.84,44%,1.7,74%,2.02,50%,85%,1.6,4/1/20,0,1,-3,1,0.875,-1,3,-4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.77,1.54
71,10/12/19,"Tampa, Florida, USA",Lightweight,Matt Frevola,Luis Peña,29,26,1,0,0,69,71,75,75,9,7,1,3,3,1,1,0,0,1,0,8,7,2,4,1,1,0,0,1,0,0,Orthodox,Southpaw,1,0,3.19,39%,3.47,60%,3.3,40%,75%,1.4,3.32,46%,2.47,51%,1,29%,45%,1,4/1/20,3,-6,-4,0.7778,0.875,2,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.15,0.72
72,10/12/19,"Tampa, Florida, USA",Middleweight,Gerald Meerschaert,Eryk Anders,31,32,0,0,0,73,77,73,75,41,30,6,22,2,11,1,8,2,0,0,16,12,8,1,3,4,1,0,3,0,0,Southpaw,Southpaw,1,0,3.32,43%,3.4,52%,2.37,43%,46%,1.7,3.06,45%,4.15,52%,1.51,40%,76%,0.1,4/1/20,-1,0,2,0.7317,0.75,4,2,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.34,-0.83
73,10/5/19,"Melbourne, Victoria, Australia",Middleweight,Israel Adesanya,Robert Whittaker,30,28,1,1,1,76,80,72,73,17,17,13,0,4,0,0,0,0,0,0,24,20,9,5,6,4,1,1,2,0,0,Switch,Orthodox,1,1,3.96,48%,2.4,65%,0,0%,86%,0.3,4.77,39%,3.7,61%,0.36,57%,84%,0,4/1/20,2,4,7,1,0.8333,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,-2.37,0.26
74,10/5/19,"Melbourne, Victoria, Australia",Lightweight,Al Iaquinta,Dan Hooker,32,29,0,0,1,70,70,72,75,20,14,7,1,6,5,0,3,3,1,0,26,18,10,7,1,8,1,2,5,0,0,Orthodox,Switch,1,0,4.06,40%,4.44,61%,0.64,18%,74%,0.2,4.76,45%,4.67,55%,0.43,28%,78%,0.3,4/1/20,3,-2,-5,0.7,0.6923,0,3,-3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.32,-0.61
75,10/5/19,"Melbourne, Victoria, Australia",Heavyweight,Sergey Spivak,Tai Tuivasa,24,26,1,0,1,75,78,74,75,10,9,4,5,0,1,1,0,0,0,0,11,9,8,0,1,2,1,0,1,0,0,Orthodox,Southpaw,1,0,2.08,39%,3.37,55%,3.74,66%,75%,0.6,4.09,48%,3.54,51%,0,0%,42%,0,4/1/20,-2,1,3,0.9,0.8182,3,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.72,-1.46
76,10/5/19,"Melbourne, Victoria, Australia",Welterweight,Luke Jumeau,Dhiego Lima,31,30,0,1,0,71,72,72,75,17,13,5,4,4,4,0,2,2,0,0,23,16,4,4,8,7,4,1,2,0,0,Orthodox,Orthodox,1,0,2.93,43%,3.17,58%,0.25,100%,86%,0,2.84,40%,2.96,62%,1.66,44%,66%,0.8,4/2/20,1,-1,-3,0.7647,0.6957,1,3,-2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.33,-0.03
77,10/5/19,"Melbourne, Victoria, Australia",Heavyweight,Yorgan De Castro,Justin Tafa,32,25,1,0,1,72,74,72,74,5,5,4,0,1,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,Orthodox,Southpaw,1,0,3.58,53%,1.4,43%,0,0%,75%,0,3.86,66%,2.65,52%,0,0%,0%,0,4/2/20,7,0,0,1,1,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-2.46,0.93
78,9/28/19,"Copenhagen, Denmark",Middleweight,Jack Hermansson,Jared Cannonier,31,35,0,0,0,73,77,71,77,24,20,11,5,4,4,1,2,1,0,0,16,12,8,2,2,4,2,0,2,0,0,Orthodox,Switch,1,1,5.13,48%,2.56,56%,2.23,36%,77%,0.7,3.72,51%,2.82,66%,0.18,33%,51%,0,4/2/20,-4,2,0,0.8333,0.75,4,6,-2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1.16,2.31
79,9/28/19,"Copenhagen, Denmark",Lightweight,Mark Madsen,Danilo Belluardo,35,25,1,1,0,68,72,72,74,8,8,2,3,3,0,0,0,0,0,0,16,12,6,3,3,5,5,0,0,0,0,Orthodox,Southpaw,1,0,2.28,42%,2.53,46%,8.33,64%,0%,0,1.52,61%,4.79,41%,3.5,100%,50%,0,4/3/20,10,-4,-2,1,0.75,4,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.01,-2.51
80,9/28/19,"Copenhagen, Denmark",Welterweight,Gunnar Nelson,Gilbert Burns,31,33,0,0,0,71,72,70,71,22,17,4,12,1,4,1,0,3,1,0,19,16,5,8,3,3,1,0,2,0,0,Switch,Orthodox,1,0,1.71,57%,3.33,49%,1.72,55%,66%,0.9,3.13,44%,3.02,56%,2.39,38%,44%,0.7,4/3/20,-2,1,1,0.7727,0.8421,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.2,-1.31
81,9/28/19,"Copenhagen, Denmark",Light Heavyweight,Ion Cuțelaba,Khalil Rountree,25,29,1,0,0,73,75,73,76,19,14,11,2,1,4,0,2,2,0,1,13,9,6,0,3,3,1,1,1,0,1,Southpaw,Southpaw,1,0,5.29,39%,3.26,48%,2.59,71%,80%,0,3.01,40%,2.85,47%,0,0%,46%,0.2,4/3/20,-4,0,-1,0.7368,0.6923,2,3,-1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.25,2.44
82,9/28/19,"Copenhagen, Denmark",Light Heavyweight,Michal Oleksiejczuk,Ovince Saint Preux,24,36,0,0,0,72,74,75,80,17,14,10,1,3,2,1,1,0,0,1,26,23,11,7,5,13,2,3,8,0,0,Southpaw,Southpaw,1,0,4.83,56%,2.91,69%,1.05,66%,35%,0,2.59,46%,2.86,44%,1.34,40%,65%,0.6,4/3/20,-12,-3,-6,0.8235,0.8846,2,5,-3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.32,1.97
83,9/28/19,"Copenhagen, Denmark",Welterweight,Nicolas Dalby,Alex Oliveira,34,31,1,1,0,71,74,71,76,22,17,6,4,7,3,0,0,3,1,1,30,20,12,5,3,7,1,4,2,1,2,Orthodox,Orthodox,1,0,3.03,38%,2.91,56%,1.8,45%,58%,0,2.88,50%,2.18,47%,2.69,37%,58%,0.6,4/3/20,3,0,-2,0.7727,0.6667,3,5,-2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.03,0.85
84,9/21/19,"Mexico City, Distrito Federal, Mexico",Women's Strawweight,Alexa Grasso,Carla Esparza,26,31,0,1,0,65,66,61,63,13,11,4,0,7,2,0,1,1,0,0,21,15,3,4,8,6,2,1,3,0,0,Orthodox,Not Listed,1,0,5.25,41%,3.61,63%,0.19,33%,63%,0.6,2.22,40%,2.86,53%,3.53,36%,48%,0.3,4/3/20,-5,4,3,0.8462,0.7143,1,2,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,2.39
85,9/21/19,"Mexico City, Distrito Federal, Mexico",Women's Bantamweight,Irene Aldana,Vanessa Melo,31,31,1,1,0,69,68,69,68,15,10,5,3,2,5,2,0,3,0,0,15,10,0,2,8,5,1,0,4,0,0,Orthodox,Orthodox,1,0,6.16,38%,5.92,63%,0.28,50%,93%,0.1,3.6,28%,6.8,56%,0,0%,77%,0,4/4/20,0,0,0,0.6667,0.6667,-1,-1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.32,-0.64
86,9/21/19,"Mexico City, Distrito Federal, Mexico",Featherweight,Martin Bravo,Steven Peterson,26,29,0,1,0,68,71,70,70,13,11,4,5,2,2,1,0,1,0,0,26,17,4,8,5,9,1,0,8,0,0,Southpaw,Orthodox,1,0,7.66,39%,5.72,51%,2.6,35%,85%,0,4.65,35%,5.9,56%,2.02,28%,75%,0.4,4/4/20,-3,-2,1,0.8462,0.6538,3,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.07,1.76
87,9/14/19,"Vancouver, British Columbia, Canada",Lightweight,Justin Gaethje,Donald Cerrone,31,26,1,0,0,71,70,71,73,22,20,17,1,2,2,2,0,0,0,0,49,36,10,17,9,12,5,1,6,0,1,Orthodox,Orthodox,1,1,8.57,55%,9.67,54%,0,0%,80%,0,4.33,46%,4.27,53%,1.21,36%,73%,1.3,4/4/20,5,0,-3,0.9091,0.7347,-1,2,-3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.34,4.3
88,9/14/19,"Vancouver, British Columbia, Canada",Light Heavyweight,Nikita Krylov,Glover Teixeira,27,39,0,0,0,75,77,74,76,32,26,11,15,0,6,1,5,0,0,0,36,29,17,8,4,7,3,0,4,0,0,Orthodox,Orthodox,1,0,4.54,59%,2.45,41%,1.4,38%,52%,1.6,3.41,44%,3.84,54%,2,38%,60%,1,4/4/20,-12,1,1,0.8125,0.8056,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.96,0.7
89,9/14/19,"Vancouver, British Columbia, Canada",Welterweight,Tristan Connelly,Michel Pereira,33,25,1,1,0,70,68,73,73,19,13,4,9,0,6,1,1,4,0,0,34,23,10,6,7,9,1,1,7,0,2,Orthodox,Orthodox,1,0,4.27,51%,2.13,57%,0,0%,60%,1,3.04,51%,3.04,52%,2,57%,100%,0,4/4/20,8,-3,-5,0.6842,0.6765,-2,0,-2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.91,1.23
90,9/14/19,"Vancouver, British Columbia, Canada",Middleweight,Antonio Carlos Junior,Uriah Hall,29,35,0,0,0,74,79,72,79,15,11,0,8,3,3,1,0,2,0,1,24,15,12,1,2,9,4,0,5,0,0,Orthodox,Orthodox,1,0,1.91,44%,1.98,53%,3.7,44%,53%,0.9,3.31,50%,3.57,53%,0.75,38%,69%,0.2,4/4/20,-6,2,0,0.7333,0.625,5,7,-2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.33,-1.66
91,9/14/19,"Vancouver, British Columbia, Canada",Light Heavyweight,Misha Cirkunov,Jim Crute,32,23,1,1,0,75,77,74,74,19,14,4,8,2,5,3,2,0,0,0,10,10,4,3,3,0,0,0,0,0,0,Orthodox,Orthodox,1,0,4.18,52%,2.89,62%,4.42,57%,71%,2.4,4.08,55%,2.23,53%,4.63,81%,60%,2.6,4/4/20,9,1,3,0.7368,1,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.19,1.95
92,9/7/19,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight,Dustin Poirier,Khabib Nurmagomedov,30,30,0,0,0,69,72,70,70,31,25,12,7,6,5,2,1,2,0,1,27,27,8,9,10,0,0,0,0,0,0,Southpaw,Orthodox,1,1,5.51,49%,3.97,56%,1.55,37%,61%,1.2,4.11,49%,1.65,67%,5.35,47%,84%,0.7,4/4/20,0,-1,2,0.8065,1,3,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.14,3.86
93,9/7/19,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight,Paul Felder,Edson Barboza,34,33,1,0,0,71,70,71,75,20,16,10,1,5,4,1,0,3,0,0,27,20,12,1,7,7,3,2,2,0,0,Orthodox,Orthodox,1,0,3.67,43%,3.4,49%,0.25,25%,61%,0.2,4.01,43%,4.16,60%,0.49,44%,80%,0.1,4/4/20,1,0,-5,0.8,0.7407,-1,4,-5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.61,-0.49
94,9/7/19,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight,Davi Ramos,Islam Makhachev,32,27,0,0,0,66,70,70,70,12,10,1,7,2,2,0,0,2,0,0,18,17,3,7,7,1,1,0,0,0,0,Orthodox,Orthodox,1,0,2.74,39%,2.8,57%,2.42,50%,100%,0.7,2.1,56%,0.76,72%,3.4,68%,93%,0.8,4/6/20,5,-4,0,0.8333,0.9444,4,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.7,1.98
95,9/7/19,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Heavyweight,Curtis Blaydes,Shamil Abdurakhimov,28,38,1,0,0,76,80,75,76,14,11,8,0,3,2,2,0,0,0,1,24,20,9,4,7,4,2,1,1,0,0,Orthodox,Orthodox,1,0,3.74,51%,1.86,57%,6.63,55%,25%,0,2.45,44%,2.45,58%,1.23,24%,47%,0.2,4/6/20,-10,1,4,0.7857,0.8333,4,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.59,1.29
96,9/7/19,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight,Mairbek Taisumov,Carlos Diego Ferreira,31,34,0,0,0,69,73,69,74,32,27,15,9,3,5,1,1,4,0,0,17,15,3,6,6,2,1,0,1,0,0,Orthodox,Orthodox,1,0,2.98,39%,3.03,64%,1.34,63%,88%,0,5.07,36%,3.11,61%,1.04,27%,70%,1,4/6/20,-3,0,-1,0.8438,0.8824,4,5,-1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-2.04,-0.13
97,8/31/19,"Shenzhen, Guangdong, China",Women's Strawweight,Weili Zhang,Jessica Andrade,30,27,1,1,0,64,63,61,62,20,19,9,7,4,1,0,0,1,0,0,26,20,7,7,6,6,2,2,2,0,0,Switch,Orthodox,1,1,6.38,45%,4.43,53%,1.26,23%,100%,0.5,6.55,51%,5.28,51%,3.21,58%,76%,0.5,4/6/20,3,3,1,0.95,0.7692,-1,1,-2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,-2.12,1.1
